600009 上海机场 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/02/2007	36.95	37.38	35.53	36.70	8236212	307023712.000
07/03/2007	36.95	38.44	36.95	37.97	9127606	354714112.000
07/04/2007	37.98	38.35	36.63	36.81	5113001	195545792.000
07/05/2007	36.10	36.10	34.45	34.47	11690907	425246400.000
07/06/2007	34.06	35.95	34.00	35.88	9695448	349728416.000
07/09/2007	36.30	36.95	35.36	36.56	8074917	300641728.000
07/10/2007	36.45	36.51	35.15	35.47	6817476	251460480.000
07/11/2007	35.35	35.85	34.85	35.13	5081258	183775760.000
07/12/2007	35.45	35.88	34.85	35.33	5727140	207313200.000
07/13/2007	35.46	37.10	35.01	36.74	7633487	284694080.000
07/16/2007	36.75	36.90	35.62	36.00	5000293	185539488.000
07/17/2007	35.94	36.70	35.45	36.29	3908796	144507344.000
07/18/2007	36.29	36.45	33.95	35.91	8298402	306045792.000
07/19/2007	36.04	36.29	35.55	35.76	4147874	153038608.000
07/20/2007	35.95	37.23	35.82	36.85	10498006	396192384.000
07/23/2007	36.85	38.76	36.75	38.36	12706446	495958464.000
07/24/2007	38.55	38.82	37.83	37.85	11197399	439680800.000
07/25/2007	37.79	38.21	37.13	38.19	9680116	374700000.000
07/26/2007	38.46	39.40	37.83	38.32	10372858	410525664.000
07/27/2007	37.95	38.44	37.45	37.88	7312858	284707584.000
07/30/2007	37.85	39.55	37.47	38.85	19181894	762857856.000
07/31/2007	38.95	40.44	38.56	40.05	12605531	512255616.000
08/01/2007	40.05	40.55	37.95	37.99	13884953	557195968.000
08/02/2007	38.06	39.25	37.86	38.37	8652492	342992672.000
08/03/2007	38.74	39.50	38.31	39.10	13889768	553809088.000
08/06/2007	39.66	40.61	39.06	40.37	17789722	725335040.000
08/07/2007	40.45	40.45	38.80	39.27	16892659	681219392.000
08/08/2007	38.95	38.95	37.45	37.93	16973736	662324608.000
08/09/2007	37.90	38.97	37.83	37.99	11159259	439142336.000
08/10/2007	38.35	39.00	37.85	38.46	10161206	400663136.000
08/13/2007	38.43	40.14	37.80	39.32	19420544	780808960.000
08/14/2007	39.40	39.99	38.55	39.45	14717002	590410560.000
08/15/2007	39.70	40.00	38.45	39.13	11108241	445490976.000
08/16/2007	38.61	38.95	37.46	37.91	13786564	537146688.000
08/17/2007	37.80	37.93	36.45	36.54	19082136	727919936.000
08/20/2007	37.55	38.54	37.55	38.29	14949946	582694720.000
08/21/2007	38.30	39.59	38.30	38.91	12194009	489654336.000
08/22/2007	38.54	40.10	38.40	39.41	11126020	450302880.000
08/23/2007	39.44	41.58	39.42	40.84	15952711	663198912.000
08/24/2007	41.20	42.66	41.12	41.61	16347773	701793728.000
08/27/2007	41.63	42.80	40.01	40.66	15681921	666292928.000
08/28/2007	40.11	40.20	38.90	39.18	16805717	674930624.000
08/29/2007	39.10	39.78	38.75	39.25	11326957	456142560.000
08/30/2007	39.33	40.05	39.00	39.28	10899847	439532064.000
08/31/2007	39.43	41.31	39.00	41.03	18030835	746158720.000
09/03/2007	41.29	41.83	40.10	40.59	15141391	634531968.000
09/04/2007	40.72	41.60	39.28	39.80	10060496	417045312.000
09/05/2007	40.00	41.38	39.60	41.31	13562112	559472768.000
09/06/2007	41.31	42.10	40.83	41.19	13067211	553719552.000
09/07/2007	41.21	42.16	40.30	40.90	15494707	655956928.000
09/10/2007	40.80	41.30	39.50	41.06	8642756	357975360.000
09/11/2007	41.25	41.25	37.90	38.80	8671838	354430624.000
09/12/2007	38.81	40.38	38.81	39.90	10038510	406668960.000
09/13/2007	39.70	40.26	38.80	39.26	10361607	416063104.000
09/14/2007	39.41	39.41	37.92	38.60	14039054	550957568.000
09/17/2007	38.60	40.70	38.05	39.99	16416029	657865664.000
09/18/2007	40.10	40.10	38.50	38.99	8870578	353692928.000
09/19/2007	39.00	39.10	38.26	38.79	6011231	237131120.000
09/20/2007	38.70	39.38	38.31	38.74	11110525	442179968.000
09/21/2007	38.74	39.45	38.45	39.27	11469953	457961760.000
09/24/2007	39.39	39.70	37.91	38.15	8987058	352637920.000
09/25/2007	38.20	39.07	38.10	38.32	6807857	268170528.000
09/26/2007	38.40	38.68	37.20	37.32	7275949	282786208.000
09/27/2007	37.33	37.75	36.70	37.49	6123277	233350640.000
09/28/2007	37.60	38.76	37.60	38.50	12311787	485006048.000
10/08/2007	39.28	39.28	38.28	38.60	12398224	490091040.000
10/09/2007	38.60	38.63	37.10	37.50	15131641	583428032.000
