600010 包钢股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/02/2007	6.58    6.66	6.15	6.53	174983919	1156512128.000
07/03/2007	6.61	6.67	6.27	6.44	68515825	452842816.000
07/04/2007	6.54	6.60	6.13	6.20	63372113	413753952.000
07/05/2007	6.03	6.07	5.56	5.57	89425152	535145312.000
07/06/2007	5.52	5.95	5.29	5.89	94197516	547262208.000
07/09/2007	5.92	6.12	5.81	6.04	82125596	503551200.000
07/10/2007	6.02	6.02	5.71	5.74	66635056	401470368.000
07/11/2007	5.71	5.87	5.59	5.77	38030370	225022016.000
07/12/2007	5.79	5.95	5.71	5.83	39176894	235692176.000
07/13/2007	5.94	5.94	5.79	5.87	42775535	259090832.000
07/16/2007	5.86	5.86	5.61	5.62	29215460	172496352.000
07/17/2007	5.52	5.81	5.51	5.71	25762036	150701728.000
07/18/2007	5.67	5.80	5.61	5.69	27854734	164134704.000
07/19/2007	5.69	5.74	5.60	5.62	21183074	123473488.000
07/20/2007	5.64	5.95	5.64	5.88	62881754	379429152.000
07/23/2007	5.88	6.49	5.88	6.49	164559063	1066695616.000
07/24/2007	6.77	6.87	6.51	6.52	198118336	1374414720.000
07/25/2007	6.51	6.75	6.46	6.63	70877877	481674944.000
07/26/2007	6.67	6.77	6.50	6.67	69517779	473406528.000
07/27/2007	6.62	6.81	6.51	6.72	91797004	632092480.000
07/30/2007	6.72	7.11	6.71	6.96	123251726	879676672.000
07/31/2007	6.97	7.06	6.88	6.90	88450244	631640576.000
08/01/2007	6.91	6.99	6.40	6.45	102334217	703584448.000
08/02/2007	6.45	6.71	6.36	6.59	64143258	433033216.000
08/03/2007	6.63	6.69	6.49	6.56	61518614	414547136.000
08/06/2007	6.63	7.00	6.63	6.96	152879360	1080330880.000
08/07/2007	6.99	7.33	6.85	7.12	197115522	1442959616.000
08/08/2007	7.05	7.30	6.89	7.17	137798532	1007330816.000
08/09/2007	7.59	7.91	7.27	7.42	194948855	1490491008.000
08/10/2007	7.57	7.58	7.12	7.46	130923941	989738432.000
08/13/2007	7.61	7.80	7.56	7.68	217380738	1714127360.000
08/14/2007	7.69	7.73	7.48	7.57	80885975	626653376.000
08/15/2007	7.57	7.71	7.09	7.51	116550774	885107840.000
08/16/2007	7.46	7.46	7.16	7.27	70150083	523397952.000
08/17/2007	7.21	7.44	7.13	7.19	59746445	445760128.000
08/20/2007	7.33	7.61	7.26	7.54	102150267	786398272.000
08/21/2007	7.62	7.66	7.36	7.44	84575328	646415168.000
